,Draft_Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_pg,PTS_pg,TRB_pg,AST_pg,WS,Win_Shares_per_48,BPM,VORP
1238,2020,8,NYK,Obi Toppin,Dayton,1,62,683,253,138,29,0.498,0.306,0.731,11.0,4.1,2.2,0.5,1.5,0.109,-1.0,0.2
1239,2020,9,WAS,Deni Avdija,,1,54,1257,342,262,63,0.417,0.315,0.644,23.3,6.3,4.9,1.2,1.2,0.046,-3.9,-0.6
1240,2020,10,PHO,Jalen Smith,Maryland,1,27,156,53,37,4,0.44,0.235,0.714,5.8,2.0,1.4,0.1,0.1,0.022,-6.2,-0.2
1241,2020,11,SAS,Devin Vassell,Florida State,1,62,1056,341,174,56,0.406,0.347,0.843,17.0,5.5,2.8,0.9,1.5,0.069,-1.9,0.1
1242,2020,12,SAC,Tyrese Haliburton,Iowa State,1,58,1746,753,173,309,0.472,0.409,0.857,30.1,13.0,3.0,5.3,3.5,0.096,1.1,1.4
1243,2020,13,NOP,Kira Lewis Jr.,Alabama,1,54,904,343,71,124,0.386,0.333,0.843,16.7,6.4,1.3,2.3,0.9,0.045,-3.8,-0.4
1244,2020,14,BOS,Aaron Nesmith,Vanderbilt,1,46,669,218,127,23,0.438,0.37,0.786,14.5,4.7,2.8,0.5,1.1,0.076,-3.2,-0.2
1245,2020,15,ORL,Cole Anthony,UNC,1,47,1273,605,221,192,0.397,0.337,0.832,27.1,12.9,4.7,4.1,0.0,-0.001,-3.3,-0.4
1246,2020,16,POR,Isaiah Stewart,Washington,1,68,1455,537,453,59,0.553,0.333,0.696,21.4,7.9,6.7,0.9,4.0,0.132,-1.2,0.3
1247,2020,17,MIN,Aleksej Pokusevski,,1,45,1090,367,212,97,0.341,0.28,0.738,24.2,8.2,4.7,2.2,-1.9,-0.084,-5.9,-1.1
1248,2020,18,DAL,Josh Green,Arizona,1,39,445,101,78,28,0.452,0.16,0.565,11.4,2.6,2.0,0.7,0.5,0.05,-3.7,-0.2
1249,2020,19,BRK,Saddiq Bey,Villanova,1,70,1909,857,318,95,0.404,0.38,0.844,27.3,12.2,4.5,1.4,3.3,0.082,-0.8,0.6
1250,2020,20,MIA,Precious Achiuwa,Memphis,1,61,737,304,208,29,0.544,0.0,0.509,12.1,5.0,3.4,0.5,1.3,0.085,-4.5,-0.5
1251,2020,21,PHI,Tyrese Maxey,Kentucky,1,61,935,488,104,120,0.462,0.301,0.871,15.3,8.0,1.7,2.0,1.9,0.099,-1.9,0.0
1252,2020,22,DEN,Zeke Nnaji,Arizona,1,42,397,136,65,10,0.481,0.407,0.8,9.5,3.2,1.5,0.2,0.9,0.104,-2.1,0.0
1253,2020,23,NYK,Leandro Bolmaro,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1254,2020,24,MIL,R.J. Hampton,,1,51,888,354,179,87,0.435,0.31,0.671,17.4,6.9,3.5,1.7,0.4,0.021,-3.8,-0.4
1255,2020,25,OKC,Immanuel Quickley,Kentucky,1,64,1243,731,137,127,0.395,0.389,0.891,19.4,11.4,2.1,2.0,3.2,0.125,0.6,0.8
1256,2020,26,BOS,Payton Pritchard,Oregon,1,66,1268,510,158,120,0.44,0.411,0.889,19.2,7.7,2.4,1.8,2.5,0.095,-1.1,0.3
1257,2020,27,UTA,Udoka Azubuike,Kansas,1,15,57,16,13,0,0.444,0.0,0.8,3.8,1.1,0.9,0.0,0.1,0.119,-4.9,0.0
1258,2020,28,LAL,Jaden McDaniels,Washington,1,63,1511,427,232,71,0.447,0.364,0.6,24.0,6.8,3.7,1.1,1.4,0.046,-3.8,-0.7
1259,2020,29,TOR,Malachi Flynn,San Diego State,1,47,928,353,116,137,0.374,0.321,0.804,19.7,7.5,2.5,2.9,0.8,0.041,-2.8,-0.2
1260,2020,30,BOS,Desmond Bane,TCU,1,68,1519,625,210,118,0.469,0.432,0.816,22.3,9.2,3.1,1.7,2.9,0.093,-1.0,0.4
1261,2020,0,,Round 2,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262,2020,0,Tm,Player,College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263,2020,31,DAL,Tyrell Terry,Stanford,1,11,56,11,6,6,0.313,0.0,0.333,5.1,1.0,0.5,0.5,-0.1,-0.049,-5.5,-0.1
1264,2020,32,CHO,Vernon Carey Jr.,Duke,1,19,115,46,27,2,0.5,0.143,0.818,6.1,2.4,1.4,0.1,0.2,0.066,-6.2,-0.1
1265,2020,33,MIN,Daniel Oturu,Minnesota,1,30,161,54,48,10,0.423,0.2,0.75,5.4,1.8,1.6,0.3,0.3,0.081,-5.6,-0.1
1266,2020,34,PHI,Théo Maledon,,1,65,1778,658,211,227,0.368,0.335,0.748,27.4,10.1,3.2,3.5,-0.8,-0.021,-5.2,-1.4
1267,2020,35,SAC,Xavier Tillman Sr.,Michigan State,1,59,1085,390,256,75,0.559,0.338,0.642,18.4,6.6,4.3,1.3,2.9,0.127,-0.4,0.4
1268,2020,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1.0,1.1,0.2,0.0,-0.033,-9.6,-0.1
1269,2020,37,WAS,Vit Krejci,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270,2020,38,UTA,Saben Lee,Vanderbilt,1,48,781,267,97,174,0.471,0.348,0.685,16.3,5.6,2.0,3.6,1.5,0.091,-1.9,0.0
1271,2020,39,NOP,Elijah Hughes,Syracuse,1,18,64,31,9,6,0.333,0.348,0.75,3.6,1.7,0.5,0.3,0.0,-0.013,-3.7,0.0
1272,2020,40,MEM,Robert Woodard,Mississippi State,1,13,45,20,16,2,0.4,0.167,0.375,3.5,1.5,1.2,0.2,0.0,-0.011,-5.4,0.0
1273,2020,41,SAS,Tre Jones,Duke,1,37,269,94,21,39,0.474,0.6,0.895,7.3,2.5,0.6,1.1,0.4,0.066,-3.4,-0.1
1274,2020,42,NOP,Nick Richards,Kentucky,1,18,63,15,11,2,0.444,0.0,0.636,3.5,0.8,0.6,0.1,0.0,0.026,-8.7,-0.1
1275,2020,43,SAC,Jahmi'us Ramsey,Texas Tech,1,13,94,40,10,6,0.395,0.263,1.0,7.2,3.1,0.8,0.5,0.0,0.012,-4.7,-0.1
1276,2020,44,CHI,Marko Simonovic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,2020,45,MIL,Jordan Nwora,Louisville,1,30,274,171,60,7,0.459,0.452,0.76,9.1,5.7,2.0,0.2,0.4,0.068,-1.3,0.0
1278,2020,46,POR,CJ Elleby,Washington State,1,30,192,68,32,10,0.379,0.206,0.733,6.4,2.3,1.1,0.3,0.1,0.032,-5.6,-0.2
1279,2020,47,BOS,Yam Madar,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,2020,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-4.1,-0.2
1281,2020,49,PHI,Isaiah Joe,Arkansas,1,41,383,153,36,20,0.361,0.368,0.75,9.3,3.7,0.9,0.5,0.6,0.078,-3.5,-0.1
1282,2020,50,ATL,Skylar Mays,LSU,1,33,269,124,35,30,0.449,0.35,0.88,8.2,3.8,1.1,0.9,0.8,0.14,1.6,0.2
1283,2020,51,GSW,Justinian Jessup,Boise State,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,2020,52,SAC,Kenyon Martin Jr.,,1,45,1068,419,242,48,0.509,0.365,0.714,23.7,9.3,5.4,1.1,2.2,0.099,-1.8,0.0
1285,2020,53,OKC,Cassius Winston,Michigan State,1,22,98,41,9,12,0.424,0.471,0.833,4.5,1.9,0.4,0.5,0.1,0.066,-3.0,0.0
1286,2020,54,IND,Cassius Stanley,Duke,1,24,93,36,20,1,0.302,0.231,0.778,3.9,1.5,0.8,0.0,-0.1,-0.05,-11.2,-0.2
1287,2020,55,BRK,Jay Scrubb,John A. Logan College,1,4,84,35,14,1,0.389,0.222,1.0,21.0,8.8,3.5,0.3,-0.1,-0.072,-10.9,-0.2
1288,2020,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,0.0,3.9,2.6,0.1,0.4,0.1,0.177,5.4,0.1
1289,2020,57,LAC,Reggie Perry,Mississippi State,1,26,211,78,73,14,0.41,0.19,0.769,8.1,3.0,2.8,0.5,0.2,0.04,-6.7,-0.2
1290,2020,58,PHI,Paul Reed,DePaul,1,26,177,88,61,12,0.538,0.0,0.5,6.8,3.4,2.3,0.5,0.6,0.162,-0.9,0.0
1291,2020,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.6,0.1
1292,2020,60,NOP,Sam Merrill,Utah State University,1,30,233,89,30,21,0.444,0.447,1.0,7.8,3.0,1.0,0.7,0.5,0.102,-1.4,0.0
